Local Case Number,Crash Date/Time,Road Name,Related Non-Motorist,Weather,Surface Condition,Light,Driver Substance Abuse,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Year,Month,Hour
260017484,04/23/2026 08:54:00 PM,HUNGERFORD DR,Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter Not at Intersection,Unknown,Median/Crossing Island,No,Possible Minor Injury,None,39.09284198,-77.15336376,2026,4,20
260017394,04/23/2026 12:21:00 PM,S FREDERICK RD,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Walking/Cycling on Sidewalk,Unknown,Driveway Access,No,Possible Minor Injury,None,39.12869567,-77.1857675,2026,4,12
260017325,04/22/2026 09:54:00 PM,ASPEN HILL RD,Scooter (electric),Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Scooter (electric),Cross/Enter at Intersection,Unknown,Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.08022754,-77.08068748,2026,4,21
260017280,04/22/2026 05:32:00 PM,NA,Scooter (electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Scooter (electric),Cross/Enter Not at Intersection,Improper Turn/Merge),Travel Lane Other Location,Yes,Possible Minor Injury,Unknown,39.01620354,-77.0334641,2026,4,17
260017167,04/22/2026 07:30:00 AM,UNIVERSITY BLVD W,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,"Dart/Dash, Failure to Obey Traffic Signs, Signals, or Officer, Other",Intersection Marked Crosswalk,Yes,Suspected Serious Injury,None,39.01985721,-77.01336701,2026,4,7
260017047,04/21/2026 01:14:00 PM,NA,Pedestrian,Clear,NA,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Standing,None (No Improper Action),Other,No,Suspected Serious Injury,None,39.0545426,-76.96801733,2026,4,13
260016949,04/20/2026 06:00:00 PM,GOODHILL RD,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Standing,Other,Travel Lane Other Location,No,No Apparent Injury,None,39.06044241,-77.0716903,2026,4,18
260016929,04/20/2026 04:45:00 PM,NEW HAMPSHIRE AVE,Scooter (electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Scooter (electric),Cross/Enter at Intersection,"Failure to Obey Traffic Signs, Signals, or Officer, Failure to Yield Right-Of-Way, In Roadway Improperly (Standing, Lying, Working, Playing)",Intersection Marked Crosswalk,Yes,No Apparent Injury,None,39.03974606,-76.99050629,2026,4,16
260016671,04/18/2026 08:28:00 PM,ODENDHAL AVE (EB/L),Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,None,"In Roadway Improperly (Standing, Lying, Working, Playing)",Travel Lane Other Location,Yes,Suspected Serious Injury,None,39.15180334,-77.19992973,2026,4,20
260016633,04/18/2026 01:58:00 PM,NA,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.11876833,-77.1674775,2026,4,13
260016616,04/18/2026 12:07:00 PM,MORNING STAR DR,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter Not at Intersection,"In Roadway Improperly (Standing, Lying, Working, Playing)",Other,Yes,Possible Minor Injury,None,39.2180697,-77.24772759,2026,4,12
260016595,04/18/2026 09:40:00 AM,KENT ST,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter Not at Intersection,Dart/Dash,Intersection Other,No,Possible Minor Injury,None,39.01967305,-77.06428297,2026,4,9
260016494,04/17/2026 04:42:00 PM,STRATHMORE AVE,Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Cross/Enter at Intersection,None (No Improper Action),Midblock Marked Crosswalk,No,Possible Minor Injury,Helmet,39.03455961,-77.10203315,2026,4,16
260016490,04/17/2026 04:15:00 PM,GEORGIA AVE (SB/L),Pedestrian,Clear,Dry,Daylight,"Unknown, Unknown",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.15456866,-77.06681465,2026,4,16
260016300,04/16/2026 03:47:00 PM,RAMSEY AVE,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),Unknown,Intersection Marked Crosswalk,Yes,No Apparent Injury,None,38.99443614,-77.02915283,2026,4,15
260016322,04/16/2026 03:40:00 PM,N HORNERS LA,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,Unknown,Intersection Other,No,Fatal Injury,None,39.09322848,-77.14361506,2026,4,15
260016242,04/16/2026 10:55:00 AM,NA,Unknown,Clear,NA,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Unknown,None,None (No Improper Action),NonTrafficway Area,No,No Apparent Injury,None,39.06436024,-77.12693118,2026,4,10
